Sample_name,Hash,nReads
Locus_1_1306a-1_S1,42737cd65bab38b57ea8949256ab1dbc59f5d054,68361
Locus_1_1306a-1_S1,46198a966b943c5f03fd710b52b7f74fc3e2ca5e,13
Locus_1_1306a-1_S1,27957660a97efa9a9104bb5329b3b2fd120cf083,3177
Locus_1_1306a-1_S1,c9e5500ec4ff0dc8d9a34998f3a04ced941702f3,5
Locus_1_1306a-1_S1,bb5fb2d15b40f5c67f615a2ccbb5a4d273b97e2c,4524
Locus_1_1306a-1_S1,c2c5504fad8054bb4b57e18ae24c1e5267345799,7023
Locus_1_1306a-1_S1,df77ec60709e680b780d2cb7091e668a8a743ebe,709
Locus_1_1306a-1_S1,25afc9c2dd52d85e9c8f6f24fba49b1ea5a17f3d,1347
Locus_1_1306a-1_S1,7a1b004d0933e79da3f139e6dfc1fdda13a810e1,1470
Locus_1_1306a-1_S1,856bdabd9da03b5f02d52e62eead9bbde41a60b2,6221
Locus_1_1306a-1_S1,d9e7ecc2aa47e0bb480fb881d34c7002ebf16800,3097
Locus_1_1306a-1_S1,a5874adbabc53f777c99fb9024505d9dee731280,545
Locus_1_1306a-1_S1,0e9ec584677641b0ef85b9741494a6e388b038e0,1166
Locus_1_1306a-1_S1,74c3d0dd79f72261d07798440938648c202da5cb,1360
Locus_1_1306a-1_S1,ea00e637ccc8f3ae5de58757aa6fe53e625eb8b4,1347
Locus_1_1306a-1_S1,2706eeda1c9fb77568931d1b2026b81e6cd687cc,1040
Locus_1_1306a-1_S1,6607f34a8c8176caad41d9fba49dde524fe6582d,959
Locus_1_1306a-1_S1,cf2bbf13897d0d0ece42c176fedc2e609cb3dd69,799
Locus_1_1306a-1_S1,62f970dcf2771066e8ec5fd64e80be73cae0eb3e,741
Locus_1_1306a-1_S1,265417acf5fc77ae020cee0d433496967276d1eb,609
Locus_1_1306a-1_S1,bc69d38057b742c7a3a06c2c2746d8d090600eb4,260
Locus_1_1306a-1_S1,5c1d134f78b36723519c11d026e7c1d84e2e2c10,482
Locus_1_1306a-1_S1,a26f4386bffe949e0c1f389ca84d3fd0b2654370,467
Locus_1_1306a-1_S1,73b5dbcb1bf21efe2d9d82d80f21a9341616ae31,440
Locus_1_1306a-1_S1,efae7e8d5d9838a73f0d506c54d08b64ea922799,307
Locus_1_1306a-1_S1,d66352c220cdc0b335dc0066a8bfa08e79d35ec0,299
Locus_1_1306a-1_S1,a50067a4d1a2b1d7915f05fb49d9629fca0a91fc,253
Locus_1_1306a-1_S1,7fcdfaa03e843a9ad27d2b67a5275b59f0c1076c,195
Locus_1_1306a-1_S1,d4e3d252c66752d20bd44ee7949db5aae9b1dd3d,194
Locus_1_1306a-1_S1,d405c95cf10fde615fcd58df8332a45dbfb027b5,158
Locus_1_1306a-1_S1,eee5f2aba9423c2570f291645a1dc5fe093ea95c,155
Locus_1_1306a-1_S1,bbf1d39ed449cab2081c950baadb5a9249a9284e,145
Locus_1_1306a-1_S1,0b4a13ddb8e32e33263033f627041dca248b81a0,108
Locus_1_1306a-1_S1,7073d2f9ecc712229e28f02d15af4c25d1965527,103
Locus_1_1306a-1_S1,06d61a6bfedd480153c54b54af5cd91936b67d27,98
Locus_1_1306a-1_S1,3b652eba6e4d7a2d27d996836b30355fd7f31c7f,95
Locus_1_1306a-1_S1,95e763e97d0079027202b0b7bf4da5a64f16d2e6,66
Locus_1_1306a-1_S1,10a7c5319989a7ffd5d5f836b3b00454ca87a6a0,48
Locus_1_1306a-1_S1,7131e78a66e92bbb08ea3dba56dea82d013b8801,36
Locus_1_1306a-2_S7,42737cd65bab38b57ea8949256ab1dbc59f5d054,38667
Locus_1_1306a-2_S7,5dd046e872a3d4a2d69e5d74a88f680516715f9f,128
Locus_1_1306a-2_S7,760fc3cb05911cd49affeee1052ade0166c54bc9,7
Locus_1_1306a-2_S7,27957660a97efa9a9104bb5329b3b2fd120cf083,3358
Locus_1_1306a-2_S7,c9e5500ec4ff0dc8d9a34998f3a04ced941702f3,3
Locus_1_1306a-2_S7,1a57477efc4a7c8e63ae71c66d10b258345aa22e,5494
Locus_1_1306a-2_S7,c2c5504fad8054bb4b57e18ae24c1e5267345799,3621
Locus_1_1306a-2_S7,ceeef90eb147b9672c36201812711d41250edff7,21
Locus_1_1306a-2_S7,25afc9c2dd52d85e9c8f6f24fba49b1ea5a17f3d,473
Locus_1_1306a-2_S7,c8049f8ff74e387f0186c4a0403c77a9904680ec,11911
Locus_1_1306a-2_S7,b0bc58b2e22b2dded0e5fbe03da9f66ab26dc773,3904
Locus_1_1306a-2_S7,d5a413e9cd0d5d42a6dd6291de15e8f481274b07,2524
Locus_1_1306a-2_S7,c5afe8c2409ce9dcba08e3d7d5f0cb606b6e6aec,2350
Locus_1_1306a-2_S7,0e9ec584677641b0ef85b9741494a6e388b038e0,398
Locus_1_1306a-2_S7,83db640a2e4221e73a4e024e85a30a860d06aa01,666
Locus_1_1306a-2_S7,e5687055810ed3eb63d19b8937a3f088c84638bd,560
Locus_1_1306a-2_S7,d0026953491bdc2d2cc39bcd9cb2ae98c80c3ce7,462
Locus_1_1306a-2_S7,a0633d287f53f36bec8aae79ccaee2ba8f453277,335
Locus_1_1306a-2_S7,57b6d823fe7fd0cc8b50be012e7e68a4ab7b32c9,329
Locus_1_1306a-2_S7,752465a242a06fff4099b105b3c88dc6c6eadd23,322
Locus_1_1306a-2_S7,da1f71b1ef76c2a909aa728d692cc1810cdb4ff6,287
Locus_1_1306a-2_S7,65dc1697552c398090914a0480c9cc32a71666e1,276
Locus_1_1306a-2_S7,e054a69647ec8f1910a9fcd0a93bb88fb799a332,172
Locus_1_1306a-2_S7,5e8d4040e1475dae60ee307e26e55c8d50d026f5,171
Locus_1_1306a-2_S7,f0acb82a3cc2494a9348538c294f64c1942886f2,165
Locus_1_1306a-2_S7,c8baf91bea2abcb8abe92ac97569e41112273610,141
Locus_1_1306a-2_S7,d393baf8c4fcc4d541231fbfdb2100e6d1bf179b,135
Locus_1_1306a-2_S7,d00df932b15b3c6e17306fe73840f22bc3d5c092,132
Locus_1_1306a-2_S7,2ca9e51f3418a78d2846e3fbf82a95791e2ee7a3,121
Locus_1_1306a-2_S7,e45016ec364c8e0830c54f6f7f49d7a9eefee51c,115
Locus_1_1306a-2_S7,626c4d550f12e5368c3e2e2fce11c47e47fbb10a,114
Locus_1_1306a-2_S7,0479bd095b7fdc12178cfd129e99adbd5593810b,107
Locus_1_1306a-2_S7,541b4934ee732b59b9b4ca40cd924b529f74bc06,96
Locus_1_1306a-2_S7,024053fdb70107b3c45a354b29148e65939d0660,88
Locus_1_1306a-2_S7,50ddbd32f49239726c0b0a6495c7b474ffa1ea89,79
Locus_1_1306a-2_S7,3107b9e859268b6b34b199325cc553283705bb58,48
Locus_1_1306a-2_S7,16b1d5462dcc427b2f7ff39492583d64453384f9,32
Locus_1_1306a-2_S7,2ebe51b1af4507a166821df13ae7d69f44e0aab8,1
Locus_1_1306a-3_S13,42737cd65bab38b57ea8949256ab1dbc59f5d054,58088
Locus_1_1306a-3_S13,27957660a97efa9a9104bb5329b3b2fd120cf083,8521
Locus_1_1306a-3_S13,ac4b8089c9fe78f74a96a4cda9a1d38c95ac845a,754
Locus_1_1306a-3_S13,c2c5504fad8054bb4b57e18ae24c1e5267345799,755
Locus_1_1306a-3_S13,09634633b62eea664914842a286ee6c7ee969234,4
Locus_1_1306a-3_S13,399416ccb8869808a5e3ca3bfeb97d2f047eac77,470
Locus_1_1306a-3_S13,eb03ca8a7e6dfbbd5c2fc7d4156e886791938841,17094
Locus_1_1306a-3_S13,25afc9c2dd52d85e9c8f6f24fba49b1ea5a17f3d,835
Locus_1_1306a-3_S13,7a1b004d0933e79da3f139e6dfc1fdda13a810e1,3783
Locus_1_1306a-3_S13,0a7cd96837d90210fe1305f1b753f2127cc231c5,7
Locus_1_1306a-3_S13,1d57d128b26e79992dd44f28b5fe55d9459eea0c,1877
Locus_1_1306a-3_S13,40e39777fcb298ac7ca7d5faf34312877ab7c1b5,331
